country,year,sex,age,suicides_no,population
Albania,1985,female,15-24 years,,277900
Albania,1985,female,25-34 years,,246800
Albania,1985,female,35-54 years,,267500
Albania,1985,female,5-14 years,,298300
Albania,1985,female,55-74 years,,138700
Albania,1985,female,75+ years,,34200
Albania,1985,male,15-24 years,,301400
Albania,1985,male,25-34 years,,264200
Albania,1985,male,35-54 years,,296700
Albania,1985,male,5-14 years,,325800
Albania,1985,male,55-74 years,,132500
Albania,1985,male,75+ years,,21100
Albania,1986,female,15-24 years,,283900
Albania,1986,female,25-34 years,,252100
Albania,1986,female,35-54 years,,273200
Albania,1986,female,5-14 years,,304700
Albania,1986,female,55-74 years,,141700
Albania,1986,female,75+ years,,34900
Albania,1986,male,15-24 years,,306700
Albania,1986,male,25-34 years,,269000
Albania,1986,male,35-54 years,,302000
Albania,1986,male,5-14 years,,331600
Albania,1986,male,55-74 years,,134800
Albania,1986,male,75+ years,,21400
Albania,1987,female,15-24 years,14,289700
Albania,1987,female,25-34 years,4,257200
Albania,1987,female,35-54 years,6,278800
Albania,1987,female,5-14 years,0,311000
Albania,1987,female,55-74 years,0,144600
Albania,1987,female,75+ years,1,35600
Albania,1987,male,15-24 years,21,312900
Albania,1987,male,25-34 years,9,274300
Albania,1987,male,35-54 years,16,308000
Albania,1987,male,5-14 years,0,338200
Albania,1987,male,55-74 years,1,137500
Albania,1987,male,75+ years,1,21800
Albania,1988,female,15-24 years,8,295600
Albania,1988,female,25-34 years,5,262400
Albania,1988,female,35-54 years,4,284500
Albania,1988,female,5-14 years,0,317200
Albania,1988,female,55-74 years,3,147500
Albania,1988,female,75+ years,2,36400
Albania,1988,male,15-24 years,17,319200
Albania,1988,male,25-34 years,5,279900
Albania,1988,male,35-54 years,14,314100
Albania,1988,male,5-14 years,0,345000
Albania,1988,male,55-74 years,4,140200
Albania,1988,male,75+ years,1,22300
Albania,1989,female,15-24 years,5,299900
Albania,1989,female,25-34 years,2,266300
Albania,1989,female,35-54 years,7,288600
Albania,1989,female,5-14 years,0,321900
Albania,1989,female,55-74 years,1,149600
Albania,1989,female,75+ years,0,37000
Albania,1989,male,15-24 years,12,323500
Albania,1989,male,25-34 years,18,283600
Albania,1989,male,35-54 years,15,318400
Albania,1989,male,5-14 years,0,349700
Albania,1989,male,55-74 years,6,142100
Albania,1989,male,75+ years,2,22500
Albania,1990,female,15-24 years,,305900
Albania,1990,female,25-34 years,,278000
Albania,1990,female,35-54 years,,308300
Albania,1990,female,5-14 years,,329600
Albania,1990,female,55-74 years,,156400
Albania,1990,female,75+ years,,37600
Albania,1990,male,15-24 years,,325600
Albania,1990,male,25-34 years,,295100
Albania,1990,male,35-54 years,,337700
Albania,1990,male,5-14 years,,355600
Albania,1990,male,55-74 years,,149700
Albania,1990,male,75+ years,,23200
Albania,1991,female,15-24 years,,301100
Albania,1991,female,25-34 years,,274700
Albania,1991,female,35-54 years,,316500
Albania,1991,female,5-14 years,,333300
Albania,1991,female,55-74 years,,160800
Albania,1991,female,75+ years,,38300
Albania,1991,male,15-24 years,,302200
Albania,1991,male,25-34 years,,276900
Albania,1991,male,35-54 years,,342600
Albania,1991,male,5-14 years,,359500
Albania,1991,male,55-74 years,,154800
Albania,1991,male,75+ years,,23600
Albania,1992,female,15-24 years,7,292400
Albania,1992,female,25-34 years,4,267400
Albania,1992,female,35-54 years,2,323100
Albania,1992,female,5-14 years,0,336700
Albania,1992,female,55-74 years,1,164900
Albania,1992,female,75+ years,0,38700
Albania,1992,male,15-24 years,9,263700
Albania,1992,male,25-34 years,7,245500
Albania,1992,male,35-54 years,12,343800
Albania,1992,male,5-14 years,0,362900
Albania,1992,male,55-74 years,5,159500
Albania,1992,male,75+ years,0,23900
Albania,1993,female,15-24 years,10,285300
Albania,1993,female,25-34 years,7,261800
Albania,1993,female,35-54 years,7,331200
Albania,1993,female,5-14 years,1,340300
Albania,1993,female,55-74 years,2,169500
Albania,1993,female,75+ years,0,39300
Albania,1993,male,15-24 years,18,243300
Albania,1993,male,25-34 years,9,230100
Albania,1993,male,35-54 years,10,350300
Albania,1993,male,5-14 years,1,367000
Albania,1993,male,55-74 years,7,165000
Albania,1993,male,75+ years,1,24200
Albania,1994,female,15-24 years,6,282600
Albania,1994,female,25-34 years,4,261100
Albania,1994,female,35-54 years,2,342500
Albania,1994,female,5-14 years,0,344400
Albania,1994,female,55-74 years,1,174600
Albania,1994,female,75+ years,2,39900
Albania,1994,male,15-24 years,6,242200
Albania,1994,male,25-34 years,6,231400
Albania,1994,male,35-54 years,9,362800
Albania,1994,male,5-14 years,1,371800
Albania,1994,male,55-74 years,11,171400
Albania,1994,male,75+ years,2,24600
Albania,1995,female,15-24 years,13,283500
Albania,1995,female,25-34 years,7,264000
Albania,1995,female,35-54 years,8,356400
Albania,1995,female,5-14 years,2,348700
Albania,1995,female,55-74 years,2,180400
Albania,1995,female,75+ years,2,40800
Albania,1995,male,15-24 years,11,241200
Albania,1995,male,25-34 years,13,232900
Albania,1995,male,35-54 years,14,375900
Albania,1995,male,5-14 years,6,376500
Albania,1995,male,55-74 years,9,178000
Albania,1995,male,75+ years,1,25100
Albania,1996,female,15-24 years,16,287700
Albania,1996,female,25-34 years,10,267900
Albania,1996,female,35-54 years,9,362000
Albania,1996,female,5-14 years,1,354100
Albania,1996,female,55-74 years,1,183100
Albania,1996,female,75+ years,2,41200
Albania,1996,male,15-24 years,17,243600
Albania,1996,male,25-34 years,14,235300
Albania,1996,male,35-54 years,12,379600
Albania,1996,male,5-14 years,2,380400
Albania,1996,male,55-74 years,3,179900
Albania,1996,male,75+ years,2,25400
Albania,1997,female,15-24 years,21,294000
Albania,1997,female,25-34 years,16,273900
Albania,1997,female,35-54 years,7,370100
Albania,1997,female,5-14 years,6,361800
Albania,1997,female,55-74 years,0,187000
Albania,1997,female,75+ years,2,42100
Albania,1997,male,15-24 years,33,244400
Albania,1997,male,25-34 years,36,236000
Albania,1997,male,35-54 years,30,380800
Albania,1997,male,5-14 years,4,381500
Albania,1997,male,55-74 years,12,180300
Albania,1997,male,75+ years,3,25400
Albania,1998,female,15-24 years,32,295600
Albania,1998,female,25-34 years,10,275300
Albania,1998,female,35-54 years,9,372100
Albania,1998,female,5-14 years,1,363800
Albania,1998,female,55-74 years,6,188200
Albania,1998,female,75+ years,0,42300
Albania,1998,male,15-24 years,27,248800
Albania,1998,male,25-34 years,26,240400
Albania,1998,male,35-54 years,29,388200
Albania,1998,male,5-14 years,2,388400
Albania,1998,male,55-74 years,9,183800
Albania,1998,male,75+ years,3,25800
Albania,1999,female,15-24 years,19,296800
Albania,1999,female,25-34 years,13,276500
Albania,1999,female,35-54 years,5,373600
Albania,1999,female,5-14 years,1,365200
Albania,1999,female,55-74 years,6,188800
Albania,1999,female,75+ years,4,42400
Albania,1999,male,15-24 years,24,250600
Albania,1999,male,25-34 years,19,242300
Albania,1999,male,35-54 years,31,391100
Albania,1999,male,5-14 years,0,391300
Albania,1999,male,55-74 years,14,185200
Albania,1999,male,75+ years,3,25900
Albania,2000,female,15-24 years,6,263900
Albania,2000,female,25-34 years,3,245800
Albania,2000,female,35-54 years,5,332200
Albania,2000,female,5-14 years,0,324700
Albania,2000,female,55-74 years,0,168000
Albania,2000,female,75+ years,2,37800
Albania,2000,male,15-24 years,5,240000
Albania,2000,male,25-34 years,17,232000
Albania,2000,male,35-54 years,4,374700
Albania,2000,male,5-14 years,1,374900
Albania,2000,male,55-74 years,10,177400
Albania,2000,male,75+ years,1,24900
Albania,2001,female,15-24 years,9,271359
Albania,2001,female,25-34 years,4,222771
Albania,2001,female,35-54 years,12,370191
Albania,2001,female,5-14 years,2,307356
Albania,2001,female,55-74 years,6,189799
Albania,2001,female,75+ years,2,47254
Albania,2001,male,15-24 years,10,256039
Albania,2001,male,25-34 years,22,206484
Albania,2001,male,35-54 years,34,378826
Albania,2001,male,5-14 years,6,321556
Albania,2001,male,55-74 years,11,196670
Albania,2001,male,75+ years,1,31044
Albania,2002,female,15-24 years,14,275970
Albania,2002,female,25-34 years,7,223685
Albania,2002,female,35-54 years,15,375113
Albania,2002,female,5-14 years,1,304850
Albania,2002,female,55-74 years,4,191712
Albania,2002,female,75+ years,1,47407
Albania,2002,male,15-24 years,15,263067
Albania,2002,male,25-34 years,23,206286
Albania,2002,male,35-54 years,35,382139
Albania,2002,male,5-14 years,1,319473
Albania,2002,male,55-74 years,13,198130
Albania,2002,male,75+ years,4,31007
Albania,2003,female,15-24 years,14,283709
Albania,2003,female,25-34 years,9,222941
Albania,2003,female,35-54 years,13,381760
Albania,2003,female,5-14 years,0,298477
Albania,2003,female,55-74 years,9,195699
Albania,2003,female,75+ years,6,49088
Albania,2003,male,15-24 years,15,273235
Albania,2003,male,25-34 years,9,205433
Albania,2003,male,35-54 years,28,386196
Albania,2003,male,5-14 years,4,313204
Albania,2003,male,55-74 years,16,201520
Albania,2003,male,75+ years,1,32667
Albania,2004,female,15-24 years,20,292268
Albania,2004,female,25-34 years,11,222389
Albania,2004,female,35-54 years,17,391436
Albania,2004,female,5-14 years,3,286705
Albania,2004,female,55-74 years,3,203841
